Number,File Location,Title/Description,Date,Source Type,Priority Level for Synthesis Doc,New or Key Facts,Difference from previous assessment,Magnitude of bias - (|forecasted value - updated value|/forecasted value) x 100%,Bias rating discussion,Faster?,Worse?,Transformative Significance (# out 4),"Examples of broader implication (could do lots here, but going to give only 1 per entry as an example)",Indepedent Source Verification for 3/4s
168,Governments & Nations & War/Trump demands Iranian total surrender.rtf,Trump demands Iran's total surrender,2025,Government,Primary,Trump directly threatens Iran with attacks,"Prior to an (actual) US assault on Iran, and following Israel's second series of strikes on Iran, Trump demands 'full surrender' of Iranian government",,,FALSE,TRUE,3,Historical enemies exchanging direct fire is an escalation of relations.  But why escalate now?,Observation
169,Governments & Nations & War/What's happening to US research and govt funding.rtf,Exploration of US research realties,2025,News/Media,Primary,Review of first month of proposed/ordered 24 changes,"NIH, NSF, and CDC all face freezes, funding loss, and new executive directives.  Half of NSF stay likely to be laid off, women and DEI issues are to be delisted, USAID to be greatly cut to foreign nations.  This all in first 30 days of new administration.  Many of these actual 'go through'",50%,,FALSE,TRUE,4,"It's not just the EPA, its many government scientific organizations and many public/private partnerships.  Dismantling science funding and infrastructure on these levels suggest no immediate need for them.  Something members of the administration have actually said.  Now imagine that some of these other items I've listed are true, yes?  Don't they suggest we...need more scientific research ASAP?  Well for the next 7+ years we have what...50% chance of producing the answers?  What if we don't have much time?",Observation
170,Governments & Nations & War/all journals corrupt - rfkjr.rtf,RFK JR asserts research publications are corrupt,2025,News/Media,Primary,Government scientists threatened to be banned from publishing in major scientific journals,"Elite attacks on 'intellectualism' with accusations that all major scientific publishers are corrupt.  Lancet, New England Journal of Medicine, JAMA all targetted.",,,FALSE,TRUE,3,"THIS is why I say anti-intellectualism.  This literally is an attack on current systems.  Which I can respect, of course, except than to claim that only you can see clearly is something you must PROVE.  And not by being confident, but by…proving it.  Laying out the evidence.  Opening yourself up to all the attack in the world and not resisting the assaults, but accepting them to clarify ideas and evidence.  I myself am NOT correct.  I just worry I may be MORE correct.",Multiple/Observation
171,Governments & Nations & War/all members of vaccine board fired.rtf,17 members of established Vaccine board dismissed,2025,Government,Primary,HHS Takes Bold Step to Restore Public Trust in Vaccines by Reconstituting ACIP,"Claiming vaccine science needs to 'regain trust', all 17 members of ACIP committee were replaced at once.  Vaccine policy expected to substantially change, and RFK promises this",100%,,TRUE,TRUE,2,"Giant changes without preparation build trust?  Maybe so, but shouldn't large shifts be burdened with large requirements of proof?  Why should we trust a large sudden movement that also has no proof?  Of note, without granularity either 100% of the previous team was incompetent...or 100% of the movement here is.  Either way someone is quite biased yes?  Why can't it be...everyone?",
172,Governments & Nations & War/cuba power crisis.rtf,Details of ongoing power crisis in Cuba and exodus of citizens,2025,Government,Primary,Report on repeated Cuba blackouts in 2024,"1960s power infrastructure is failing or substandard, and 'floating' power plant not always available.  72 hour no electricty plans being formed",,,FALSE,TRUE,2,"10% of population has left in the last few years, and power can't be kept on.  What do we make of it then when we have so many articles about other nations with new or expanding power crises?  Will refugees be increasing even more?",
173,Governments & Nations & War/doge staff resign in protest.rtf,Report on DOGE resignations,2025,News/Media,Secondary,Federal technology staffers resign rather than help Musk and DOGE,"21 technology staffers (1/3 of those remaining) resign in protest after being instructed to 'dismantle critical federal infrastructure'.  Reports of frantic rehiring following 'vital role' firings, and of government employees hanging in limbo for weeks or months are given.",33%,,FALSE,TRUE,3,"Hard to say if this mass resignation was planned or not.  If it was, the government has been concealing it's plans.  If it wasn't, then they lost 33% of the staff left that they had kept as 'sufficient'.  Of interest these individuals say they were resigning because critical infrastructure was being threatened, and then we have multiple reports of 'just fired' individuals being hastily rehired.  The entire DOGE looks to have occurred in a very 'off the cuff way'.  As if no real damage could result.  Quite an assumption, but was it true?   We're not celebrating Elon Musk at the government level in mid 2025 yet, for sure.",Observation
174,Governments & Nations & War/india&pakistan conflict.rtf,Report on physical conflict between India and Pakistan,2025,Government,Primary,Report on start of India/Pakistan direct conflict in 2025,"Following 26 people killed in 'terrorist' attack, India attacked 9 sites in Pakistan.  Pakistan claims to have struck down 2 Indian jets",,,TRUE,TRUE,4,"For 50 years no 2 nuclear powers on earth has physically attacked each other's soil in a tit-for-tat.  This 'red line' was in fact the basis for action in the entire cold war.  Now we have experienced it, and the situation isn't resolved, with both nations stating further red-lines that contradict.  Where does this head?  And if we've already escalated...is there reason to doubt that we won't escalate more?  Isn't deviation from trendline where the burden of proof tends to live?",Observation
175,Governments & Nations & War/iran power.rtf,Report on Iran's power situation,2025,Government,Secondary,"Report on Iran's power crisis, end of 2024",2 hour daily power cuts throughout Iran,,,FALSE,TRUE,1,,
176,Governments & Nations & War/marines sent to la aprotest.rtf,"US marines sent to LA protests, against desires of CA governor",2025,Government,Secondary,Escalation of ICE confrontations with LA/CA state and federal government,700 marines to be deployed.  Some assertion this is the first event since the 60/70s,,,FALSE,TRUE,1,"Anti-immigration task forces reinforced by the army.  Immigration is clearly a large problem in the US.  And the UK.  And Germany.  And France.  And Turkey.  And Iran.  And Pakistan.  How many other places?  Is this new, or just escalation of existing patterns?  And since we know refugees are increasing...does the army escalation increase too?",
177,Governments & Nations & War/mozabique spiraling hunger crisis.rtf,"Mozabique has a new spreading hunger crisis, climate related",2025,Government,Primary,Report on Mozambique crises of 2023+,"3 cyclones in 3 months have left 5 million people facing critical levels of hunger.  900,000 in 'emergency'.  1.4 million people displaced, with armed attacks surging 155%.  413.4 million in assistance required, with 169 appearing BUT 98.5 is from the US which has just cut USAID...  Crisis is growing but support is actually shrinking here, and even more AFTER this is published",,,FALSE,TRUE,3,"Quick math is without USAID another 1.25 million will be in 'hunger' at least.  By end of year?  Next year?  Hard to say, but that'll be at least 6.25 million in just Mozambique.  Hopefully no more cyclones are coming and recovery is possible fast, but this article suggests the situation is going the other way.  We should believe it until we have evidence differently",Multiple/Observation
178,Governments & Nations & War/musk calls for trumps impeachment.rtf,"Elon Musk has a break with Donald Trump, calls for his impeachment 6 months into a term Musk helped make a reality",2025,News/Media,Secondary,Following approximately 1 year of 'alliance' Musk issues public call for Trump's impeachment,"Elon Musk has broken with Donald Trump, has spent 100+ million dollars and US government instructed to use Starlink services, but now there is at least the appearance of a public rift, with Musk no longer part of DOGE/government",,,TRUE,TRUE,2,"Predictable as can be, yet everyone went ahead anyway.  Must not have been a disaster?  Or else they didn't anticipate how large a disaster?",
179,Governments & Nations & War/plenty of time left.rtf,Assertion that climate crisis is far away and not immediately dangerous - doubling down,2025,Government,Primary,Report from US secretary + new administration,"$5 billion cuts to department of interior, 2,700 job losses, secretary says there is 'plenty of time left to deal with climate crisis'",,,FALSE,TRUE,3,"Confident assurance > less drive to deal with climate > disruption not just now, but in the future, as government teaches citizenry > further current and future drag.  So the system now is less likely right, but more than that, the worse climate effects we get the more this group will double down.  They can't be wrong, there must be other causes.  so > more scapegoating",Multiple/Observation
180,Governments & Nations & War/societal breakdown encourages authoritarianism.rtf,Description of a study on societal breakdown encouraging authoritarian mentality amongst voters,2025,Academic/Peer-reviewed,Primary,Study on authoritarianism,"Eliminating other causal factors, appearance of societal fragmentation and breakdown encourages authoritarian views and engagement, including voting",,,TRUE,TRUE,3,"There is a loop here.  Populism scapegoats > civil strife as some population is targeted > strife causes inflation/protests/violence > remaining individuals are more stimulated towards authortarianism > more populism.  We are inside this loop, and the more problems we get, the more EFFECTIVE a single solution like immigrants will seem to be.  Immigrants never caused inflation, or crime, or any problem entirely.  BUT if we can lie about immigrants with one problem, why can't we lie about immigrants with five problems?  The scapegoating thus gets MORE efficient, more effective.  More problems > demands more complexity UNLESS you spread your life further > solves all the problems > doesn't, but as strife increases > more desire for authoritarianism",Observation
181,Governments & Nations & War/south korea's president avoids impeachment.rtf,Exploration of South Korea's presidential crisis,2025,Government,Secondary,Report on South Korea's constitutional/presidential crisis,"Despite attempts at a 'coup' or armed arrest of opponents, party for the president refuse to allow impeachment proceedings against him.  Party loyalty/intra-party conflict/politics as normal?  Lots of this happening though",,,FALSE,TRUE,2,"Loyalty to party is high everywhere.  Is this normal?  I don't know, but unusual compared to the 80s/90s/00s in many countries",
182,Governments & Nations & War/tariffs against allies.rtf,US initiating tariffs against traditional allies,2025,Government,Primary,Report on initial US tariff position,"25% on both Mexico and Canada, with some 10% minimums on energy products.  Of note, 'allies' are being targetted first, rather than traditional opponents.  Chaotic responses with outsider politicians",,,FALSE,TRUE,3,,Multiple/Observation
183,Governments & Nations & War/the louve is overwhelmed.rtf,Report from the Louve on malfunction and old infrastructure,2025,News/Media,Secondary,Conditions at the Louvre,"700 to 800 million to update the louve, as part of a 10 year plan.  Staff are so overwhelmed that the building had an unexpected closure for the day.  30,000 visitors daily, and no immediate plans for improvement.",,,FALSE,TRUE,1,,
184,Governments & Nations & War/venezuela gas shortage.rtf,Report on gas shortages in a nation with rich reserves of natural gas,2024,Government,Secondary,Country with largest reserves of fossil fuels cannot maintain fuel supplies,"97% decrease in propane output after one explosion.  Repairs are likely to take 4 months, but >80% of venezuelans use propane to cook.  Oil production at 80 year lows.  Blackouts in some areas last up to 20 hours and have persisted for over 2 weeks.  'Terrorism'",,,FALSE,TRUE,3,"The largest reserves and no ability to extract.   I think this should be a lesson to the world.  It's entirely possible to rich in something, but so mismanaged that even that most important resource is allowed to collapse.  'Wealth' is not a protection for a system.",Observation
185,Governments & Nations & War/violence in ER Depts australia.rtf,Report on increased violene in Australia ER departments - violence as memetic,2025,Government,Primary,National report on Australia ER departments,90% of ED state at least one violent incidence a week.  Tasmanian hospital audit found only 25-30% of personal safety threats are reported officially.  Violence in ER is 'commonplace' despite Australia's relative stability,,,FALSE,TRUE,2,"Australia traditionally does not have the political divide of many other countries, nor a particularly violent population.  So why does the violence increase here as well?  No firm answers",
186,Governments & Nations & War/world out of balance.rtf,General report on conflict and hunger,2024,Government,Secondary,General 'call to action' report IRC emergency watchlist,"Poverty in watchlist countries now 85% higher than mid 2000s.  59 armed conflicts underway, most since WW2.  305 million pepole needed humanitarian support (USAID not yet cut).  Crisis is spreading beyond borders",85%,,FALSE,TRUE,3,"I'm including the error here because the general consensus is that poverty is decreasing worldwide.  There are less people in poverty than ever!  Maybe not.  And for further proof - this report is before USAID cuts, UK aid cuts, and several of the conflicts that 2025 has ignited",Multiple/Observation
187,Governments & Nations & War/2024 US Drought.png,State of drought in Nov 24 in the USA,2024,Government,Secondary,2024 drought map,Widespread 'coast to coast' droughts + dryness.  One of the more extreme drought maps in modern history.  Many long term consequences mapped,,,TRUE,TRUE,3,,Observation
188,Governments & Nations & War/2024 US incoming admin.jfif,"Picture of the incoming US administration, of note is McDonalds and Elon Musk as a 'pillar'",2024,Government,Secondary,Picture of incoming US administration,"Macdonalds for new admiistraton, including 2 individuals with no 'official' government positions.  Less than 6 months until 'split' with Musk",,,FALSE,FALSE,1,,
189,Governments & Nations & War/Africa's chronic power problems have escalated into a crisis affecting 30 countries. This tolls heavily on economic growth and productivity - Africa Infrastructure Knowledge Program Portal.pdf,Report on now chronic disruptions to Africa's power grids,2024,Government,Primary,General alarm on Africa wide power crisis,"68 gigawatts for 48 countries, about equal to Spain's official install capacity.  At least 25% unavailable due to poor maintenance.  Only 20% of population of subsahara has electricty, with more than 2% of GDP 'estimated to be lost'.  Ridiculous and much more, but whatever, let's use their numbers.  At least 30 nations with regular power shortages and generally less coverage than 10+ years ago",22%,Power gulf - based on assumptions of what they expected to produce,TRUE,TRUE,4,"Africa has the world's highest population growth, and yet power coverage has been dropping for 5+ years.  20 nations with large effects, but many more with partial.  Many people can exist without power but consider, more heat > more wet bulb + more droughts > more power needed to 'buffer' against climate effects...but less power?  That is less power > more heat exposure > more crop loss > more loss of life.  The continent most exposed to poverty and heat also has the least power.  The disaster is completely laid out, and ready to fire at any time.",Multiple/Observation
190,Governments & Nations & War/Bolivia slides towards anarchy as two bitter rivals prepare for showdown 2025 election.pdf,Account from Bolivia on political crisis,2025,News/Media,Secondary,"Bolivia also has a personal/ideological conflict going on between 2 'populist' figures, intrangent political parties","Morales vs Arce, with Morales supporters taking hostages.  Claimed assassination attempts.  Road and business shut downs, 'billions' lost, blockades.  2025 presidential conflict already",,,FALSE,TRUE,2,,
191,Governments & Nations & War/Democrats join 2024's graveyard of incumbents.pdf,2024 was a record year for incumbents,2024,News/Media,Primary,Reporting on 2024 election cycle worldwide,"Everyone of 10 countries tracked by ParlGov voted out incumbents, first time in 120 years of records such a clean sweep has occurred.  US, UK, France, Japan and India all surveyed.  Cost of living and immigration identified as part of 'misery index', most important 'electoral motivators'",,,FALSE,TRUE,3,"more societal stressors > more demand for change > more new to politics politicians + less 'professional' politicians.  This could be a good thing, but what if it keeps happening?  Cycle after cycle?  Does anyone build a legacy and a firm well plotted plan, or just a series of new and bigger upsets, undoing everything the party before you did?  How can a complicated intervention take place if the pilots behind it keep changing understanding/committments/plans?  Game theory suggests new politicians will sacrifice long term stability for quick benefits, like repealing carbon taxes or stopping net 0 commitments, as there will be an immediate savings involved.  And every elected country will have this impulse",Observation
192,Governments & Nations & War/GdWDlKiWkAAxRRr.jfif,Accuweather estimate of 2024 hurricane damage,2024,News/Media,Secondary,2024 Hurrican season 'so far' in the US,"500Billion estimated dollars in damages, primarily from two 'major' hurricanes.  Likely highest year ever for damages",30%,Greater than historical 'top',FALSE,TRUE,3,"The year after this, we cancel many NOAA/NWS/OAR programs.  No way the savings equal 500 billion (or anything close).  One wonders why being 'correct' is more important than even saving money?  I say it's because the bias is more important than most anything else.  It is central",Observation
193,Governments & Nations & War/Global_conflict_zones_grow_by_two_thirds_since_2021,"Increase in total area of earth under conflict, 66%",2024,Government,Primary,Conflicts as measured by area,"65% increase in landmass under conflict since 2021, 5% of global landmass now under conflict.  Africa is largest expansions, 120 million people displaced.",65%,,FALSE,TRUE,3,"Included because there are some assumptions we live in 'the most peaceful time in history.'    Of interest, this is before 2025 wars too.  I wonder if we'll consider India/Pakistan in the list?  Threat of conflict isn't enough of course, but for 4 days it was.",Multiple/Observation
194,Governments & Nations & War/Record Levels of Flooding in Africa.pdf,Record Levels of Flooding in Africa Compounds Stress on Fragile Countries,2024,News/Media,Secondary,Synthesis on 2024 African flooding,"11 million people estimated effected, with 4 million displaced.  Millions of hectares inundated and 10 million children out of school.  Flooding appears to be growing nonlinearly, and events are 'getting worse' as well as more likely",33%,Above CMIP6 projections,FALSE,TRUE,2,Last years floods are often where hunger this year comes from.  Same with droughts.  And both are increasing,
195,Governments & Nations & War/[live] 2025 Iran Conflict.pdf,News Accounts of attacks on Iran,2025,News/Media,Secondary,Reports on Israel direct strikes on Iran,"livestream of events, at least 5 locations struck.  Interestingly Israel or Iran directly striking each other was generally treated as 'not going to happen', 'regional shattering' or 'start of ww3'.  Always hyperbole, but also of such significance it was assumed all but impossible post 1990",,,FALSE,TRUE,3,"Ever wonder if Israel might be in a loop?  Initiate maneuver > successful against a 'long term foe' > plan new maneuver > successful, over and over?  Where does it end?  Does it continue until there are no potential foes left?  Will they reorder the entire middle east?  11 million people who have refreshed their reputation as foes for an entire region?",Observation
196,Governments & Nations & War/global fragility 2025.pdf,OECD States of Global Fragility 2025,2025,Government,Primary,OECD global fragility report,"Military spending is much greater than development assistance.  29 countries remain in high/extreme fragility after 25 years, most are not improving.  Superficial democracies in Central America are challenging 'democracy as improvement'",,,TRUE,TRUE,3,"Climate damage increases > military spending increases MORE than aid assistance.  We're not 'coming together' in the face of danger, we're preparing for further discord.  We should see preparations like this and follow the trendlines",Multiple/Observation
197,Governments & Nations & War/rising conflict.png,Uppsala global conflict tracker,2025,Academic/Peer-reviewed,Secondary,"1974 to now, conflict map","All tracked kinds of conflict at record levels.  Nonstate violence is at 2x previous peak, while state on state and 1 state violence is up 10% from previous peaks",,,FALSE,TRUE,3,"Has anyone considered a more networked world also in more conflict?  Does this mean nodes start to become threatened?  Do we have any duplicates for all those nodes?  I hope so, but India makes the world's medicines.  Israel is one of the world's datacenters.  Iran supplies most of its neighbors with vital supplies.",Multiple/Observation
198,Governments & Nations & War/undp-rakhine-a-famine-in-the-making-november-2024 (1).pdf,UNDP report on Rakhine,2024,Government,Primary,"Forecast of 2025 Rakhine famine, UNDP 2024","Rice production collapse of 66%, only 97,000 tons produced, shortfall of 372,000 tons.  Inflation of 400 to 900% on rice, oil, transport costs, even cement.  95% of population expected in poverty, government intentionally 'stoking' situation.  Fully economic collapse suspected",,,FALSE,TRUE,3,"IF we expecting regional collapses before larger collapses as an indicator, here we have one.  Add it to Venezuela, Haiti, Mozambique, Sudan, etc.",Observation
199,Governments & Nations & War/'I'm switched off'_ frustration and fatigue as power cuts keep Ecuador in the dark _ Access to energy _ The Guardian.pdf,"Accounts from Ecuador - power, government and drought",2024,News/Media,Secondary,Report on Ecuador droughts/power,14 hour daily power  outages due to intense drought/hydroelectricy shortages.  Estimated economic losses of 2+ billion and 3500+ jobs.  Power generation is down but demand is up 25% in 7 years,42%,,TRUE,TRUE,2,Hydropower had been quite excellent for a small period of time.  Drought intensity is higher than expectations however.  Doesn't bode well for Egypt/Ethiopia or Pakistan/India,
200,Health/12576_2016_Article_501.pdf,The human physiological impact of global deoxygenation,2016,Academic/Peer-reviewed,Secondary,Stuy on physiological impact of deoxygenation,"4ppm/year DECREASE in O2 (so worse than CO2 growth), link between less o2 and birth weight implied.  'Parabolic' rate of loss, nonlinear and likely mammothly understated in possible effects.",,,FALSE,TRUE,3,"There are no studies on deoxygenation in humans, so we'll have to label this as unknown.  But we should be aware of another place to study.  And myself, I'm going to assume this is a BIG problem, and shortly.  Just to provide an example.",Observation
201,Health/A-roadmap-to-better-health-in-the-USA_lancet.pdf,Editorial from the Lancet,2025,News/Media,Secondary,"Lancet article, 2024",US has shortest life expectancy of any high-income country and continual declines.  In 8 US states life years loss to disability are world's highest.  75% of adults/children in the US are overweight or obese.  16% of children are in poverty (by even lax US standards).  Warnings AGAINST weakening CDC and NIH (both of which happen in 2025),,,FALSE,TRUE,2,,
202,Health/National-level-and-state-level-prevalence-of-overw.pdf,"National-level and state-level prevalence of overweight and obesity among children, adolescents, and adults in the USA, 1990–2021, and forecasts up to 2050",2024,Academic/Peer-reviewed,Secondary,Lancet studies on overweight/obese,"75% overweight or obese, including 1/3 of children.  158% increase in male obesity since 1990.  200% growth in type 2 diabetes",50%,,FALSE,TRUE,2,"It's not 50% obsese, its 3/4.  I'm interest in how large ozempic will become because of this figure.  A tariff or tax on this will become increasing tempting",
203,Health/Rising Autism.jpg,Statista Rising Prevalence of Autism,2023,Government,Primary,CDC Autism presence since 2000 (birth of 1992),"1 in 36 by 2020, at least a 411% increase in population prevalence, if not more.  No signs of 'slowing' yet (and in fact goes to at least 1/31 shortly thereafter)",400%,,FALSE,TRUE,4,"I will never deny that some amount of this is undoubtedly better identification.  But to assume identification can increase numbers this much is to guess there's 'over identification'.  Instead why not notice the rise of plastics, pollutants, CO2, and the reversal of the flynn effect.  It's not hard to paint a picture here, especially with the item below.  Autism and transgenderism have a nontrivial connection",Multiple/Observation
204,Health/ST_2025.5.29_LGBTQ-experiences_00-09.webp,Pew research center - prevalence of transgenderism,2025,Academic/Peer-reviewed,Primary,Pew Research Center polling,"66% of transgender population is 29 or younger.  Compare to 21% of LG, and 46% Bi.  Of note 22% of LG are 30 to 39, vs 20% T.  T can be LG or B of course.",3600%,over historical,FALSE,TRUE,3,"1200% doesn't come about from 'being in vogue,' and even if it did, wouldn't that vogue be quite worrisome?  We'd need to immediately figure out how social media is having that effect.  Or else, something is happening biologically, and exposure is simply waiting for us to investigate further.  Why is this so uncomfortable?  Because we have so much bias yes?  Do you see?  You can prove bias exists, and is strong.",Multiple/Observation
205,Health/Ten-Americas--a-systematic-analysis-of-life-expect.pdf,Ten Americas: a systematic analysis of life expectancy disparities in the USA,2024,Academic/Peer-reviewed,Secondary,"10 'groups' of americans, analysis of life expectancies","All groups experience drops in life expectency in 2020 with continued declines in 7/10 in 2021.   Gaps are 20.4 years between highest and lowest group.  From 2000 to 2010 life expectancy grew, but only slower or reversed 2010 to 2019.",,,FALSE,TRUE,2,"Inequality is a stressor on life, which makes it a stressor on…almost everything human related",
206,Health/The-USA's-role-in-global-development-assistance-fo.pdf,Lancet correspondence - The USA’s role in global development assistance,2024,News/Media,Secondary,Lancet article on US contributions to DAH (development assistance for health),"US accounts for 29.1% of all global DAH between 2000 and 2023.  278 Billion, with 1/2 of world's HIV funding.  At least 364,000 fewer child deaths for each 1 billion spent.  Expect similar numbers for reversals.  Lancet suggests 14 millions additional deaths by 2030, with smaller cuts than have actually appeared.  Reality was literally worse than 'worst case projection' within around 8 months",,,FALSE,TRUE,4,"Conservative estimate is 3 million/year from DAH cuts that weren't as bad as 2025 policy.  Now please consider that any numbers given as observation in this document (before 2026 at least) do not take these cuts into account.  This is also independent of USAID.  It's hard not to see 50 to 100 million more people in 'distress' from total effects of US cuts.  Those under distress will suffer more, be more likely to become refugees, and be more likely to cause stress to those around them.  The cuts will ripple throughout entire regions, and chaos will grow.  Will anyone step up?",Multiple/Observation
207,"Health/The-burden-of-diseases,-injuries,-and-risk-factors.pdf","The burden of diseases, injuries, and risk factors by state in the USA, 1990–2021: a systematic analysis for the Global Burden of Disease Study 2021",2021,Academic/Peer-reviewed,Secondary,GBD 2021 US burden of disease report,"Fall in life expectancy after peak of 79.1 in 2019.  Drops in most diseases but huge rises in drug disorders and kidney disease.  Large increases in disability, especially 60% rise in mental health disorders and depressive disorders 56%",60%,,FALSE,TRUE,2,"A 60% general rise in mental health diagnosis is tremendous.  We should be studying this, but it’s a refrain like climate change.  Actual psychiatrist wait lists are 8+ months in many parts of WA state",
208,Health/bioaccumulation of plastics in human brains.pdf,Study showing micro plastic accumulation in 24 brain samples over 8 years,2024,Academic/Peer-reviewed,Primary,Study on brain microplastics over 8 years,"49% increase in sampled amounts of microplastics in brain tissues over 8 years.  Above a 'crayon's worth' of microplastic now, or .5% by volume.  Linear project is 1% by 2040, but could be higher (1.5 or 2% not impossible).  Problem was 'unsuspected' in 2010",,,TRUE,TRUE,4,"I am willing to state that this isn't a problem coming up, it's a problem right now.  The flynn effect reversal, rises in mental health difficulties, concentration, attention span, ADHD, Autism, homosexulaity/transgenderism and shifting sexualities, strokes, mylenating disorders, any and all could have some connection to this RIGHT NOW.  And it's a problem we've barely studied and weren't aware of until recently.  Our very ability to think may be under constant degradation, from something we have no defense for.  This should be receiving more attention than the climate crisis, it is that fundamental.  Again a problem I can only see being managed by an AI (if then)","Multiple for plastic increase and for broad biological effects, none for brains yet"
209,Health/co2toxicity.pdf,Carbon dioxide toxicity and climate change: a major unapprehended risk for human health,2014,Academic/Peer-reviewed,Primary,Study on CO2 physiological toxicology,"chronic low level CO2 toxicity is a thing, with even 600ppm over 8 hours showing decreased cognitive function, autonomic stress, fatigue and drowsiness.  Author believes possible cause of flynn effect reversal, and >1000 ppm associated with an entire host of effects",,,FALSE,TRUE,4,"Again a non-assessed brain and body stressor.  Unfortunately we cannot easily study the effects of high (current) CO2 on a body because everyone alive has experienced the same.  We desperately need more studies on corpses from previous centuries.  There is an assumption that everything is 'fine' at current levels.  But then I remember victorian england, and worries about co2 exposure.  They seem a lot like worries in south east asia about air flow.  Maybe our instincts are telling us something?  Maybe there is a problem here?  Why assume there isn't?  What if the CO2 is part of the constant inflammation and drop in body heat we're seeing worldwide?  If its not plant food (or at least not as much as we thought), doesn't that increase the chances its more dangerous than less dangerous?",Multiple
210,Health/cognition.jpg,John Burn-Murdoch graph on cognition,2024,Academic/Peer-reviewed,Secondary,FT Analysis of Monitorring the Future survey,70% increased difficulty in concentrating and learning new things,70%,,FALSE,TRUE,3,,Observation
211,Health/cognition2.jpg,John Burn-Murdoch graph on cognition,2024,Academic/Peer-reviewed,Secondary,FT Analysis of Monitorring the Future survey,>7% drops in test scores over test period,7%,,FALSE,TRUE,3,,Observation
212,Health/cognition3.jpg,John Burn-Murdoch graph on cognition,2024,Academic/Peer-reviewed,Secondary,FT Analysis of Monitorring the Future survey,300% growth in teens who 'hardly ever read',200%,,FALSE,TRUE,3,"Taken together these surveys suggest that brain functions might be degrading at the same time that problems are cascading and growing in an expanding 'disaster' space.  If we're having trouble concentrating however, will we be able to expand to cover this space effectively enough to 'solve' it?  We didn't even notice we had these problems in isolation, to imagine we will solve them in isolation is a step beyond that.",Observation
213,Health/disability increases.jpg,US Bureau of Statistics - disability in civilian labor force,2024,Government,Secondary,department of labor numbers,30% increase in workers with disabilities over 4 years,30%,,FALSE,TRUE,3,,Observation
214,Health/excess-mortality-in-europe-during-covid-19-sweden-recorded-v0-6dhghmup0b7f1.webp,Eurostat excess mortality in 3 years of COVID,2024,Government,Secondary,"EU excess mortality, 2020 - 2022","Excess mortality picture is varied, with some lighter hit countries getting worse in following years",,,FALSE,TRUE,1,,
215,Health/fertility crisis.pdf,UNFPA fertility crisis,2025,Government,Primary,world fertility crisis might be more about reproductive agency than anxiety/state-centered analysis.  We may have a worldwide crisis based on factors beyond one location,"Global fertility is down from 5 to 2.25 (1950 to 2024) and expected to hit 2.1 by 2050.  20% of adult surveyed say they won't have desired number of children.  Top constraints are unemployment and housing, cost of living in general, with acute periods of stress about such decisions.  Numbers don't fit reality, but this about self-perception",,,TRUE,TRUE,2,"We have other evidence that we're below these numbers now.  Notice that cost of living is so uniform.  Our 'single market' system has worked so well that all workers, all renters, almost everywhere, now are ONE market.  And have the same problems",
216,Health/global warming and sleep apnea.pdf,Global warming may increase the burden of obstructive sleep apnea,2024,Academic/Peer-reviewed,Secondary,"Study of sleep apnea, 6.4C days vs 27.3C days","49% increase in OSA, effects strengthened by lower-GDP countries and males with high BMI.  27,180 YLL, around 100 billion cost in 2023",49%,,FALSE,TRUE,2,"Heat itself causes health problems.  We need to find out heat effects and heat rates because even if we don’t need crops and animals and ice, it stresses our physical forms directly.",
217,Health/growth in us excess deaths.pdf,"Excess US Deaths Before, During, and After the COVID-19 Pandemic",2025,Academic/Peer-reviewed,Secondary,Study of US growth in excess deaths BEFORE and after pandemic,"US excess deaths have been rising for decades.  While a 'burst' is absolute with COVID, it hides increasing rates from prior years, 1.2 in 2010, 1.28 in 2019, 1.3 in 2023.  46% of deaths in under 65 are 'preventable'",,,FALSE,TRUE,2,,
218,Health/long covid.jpg,Federal Reserve Bank of St Louis,2024,News/Media,Secondary,Disability and the covid epidemic,Disability remains visibly elevated into 2024,,,FALSE,TRUE,2,,
219,Health/macrotrends-chart-image.png,annual change in deaths,2024,Unknown,Secondary,US death rates continue to climb,Increases expected for decades yet,,,FALSE,TRUE,1,,
220,Health/pollution effect is worse than thought.pdf,Short- lived reactive components substantially contribute to particulate matter oxidative potential,2025,Academic/Peer-reviewed,Secondary,Study of pollution effects second to second,60 to 99% of OP/ROS activity decays before traditional offline analysis.  We miss large amounts of pollution effects.  Air pollution epidemiology may have terribly large bias errors in temporality.  Policy on 2.5 alone is likely wrong,60%,,FALSE,TRUE,3,"Measurement matters, and it looks like we never noticed ROS bursts.  How many other items might be like this?  Could methane or some pollutants function the same way?  Could ozone could this much damage before 'most' of it quickly decays?",Observation
221,Health/prenatal exposure to heat&weather.pdf,Prenatal exposure to extreme ambient heat may amplify the adverse impact of Superstorm Sandy on basal ganglia volume among school-aged children,2025,Academic/Peer-reviewed,Secondary,Study on Superstorm Sandy and prenatal heat exposure,"Combination of both noticeably increased gray matter volumes.  Brain changes due to prenatal disaster exposure?  Changes associated with autism, ADHD, mood dysregulation.  Heat and stress = autism increase?",,,FALSE,TRUE,4,"Combinations can synergise.  It's not the heat, it's not the mother's stress, it's the combination.  And if it's that direct and visible, what other combinations might be so simple?  And as we add higher and higher peaks of heat, and longer exposures, we will increase the synergestic possibility space (at least in terms of human biology).  We are creating biological 'crash' spaces",Observation
